nombre,contacto,telefono,email,direccion
Proveedor 1,Amelia Velázquez Riojas,126.104.8935x168,ruizmariano@yahoo.com,"Ampliación Norte Hidalgo 734 Edif. 528 , Depto. 115, San Héctor los altos, COL 93503"
Proveedor 2,José Carlos Jesús Regalado,(845)173-7354x2356,jmontalvo@yahoo.com,"Privada Somalia 956 Edif. 810 , Depto. 880, San Gerardo los altos, TLAX 86969"
Proveedor 3,Mtro. Alvaro Yáñez,268.588.9724x47941,irma69@yahoo.com,"Pasaje Senegal 886 842, San Federico de la Montaña, CHIS 84911"
Proveedor 4,Francisco Sofía Valencia Contreras,108-829-4000x54856,fpineda@hotmail.com,"Eje vial Ulibarri 561 Interior 182, Vieja Vietman, QRO 54060-6452"
Proveedor 5,Arturo Augusto Hurtado,907.483.8660,robledomarcela@hotmail.com,"Andador Saint Kitts y Nevis 506 184, Vieja Letonia, BC 64381"
Proveedor 6,Lic. Alvaro Casanova,046-458-0459x87399,pamelabetancourt@yahoo.com,"Peatonal Guerrero 894 Interior 776, Nueva Niger, SLP 25911"
Proveedor 7,Sandra Yolanda Toro,04254271743,horacio17@hotmail.com,"Corredor Rodarte 783 Interior 461, Nueva República de Corea, Q. ROO 57241-2513"
Proveedor 8,Lorena Arellano Burgos,924-440-3235x0698,sbotello@cordova.org,"Callejón Sur Loera 977 Edif. 154 , Depto. 611, Nueva Islas Salomón, OAX 40397-6141"
Proveedor 9,Sr(a). Rodolfo Montalvo,01639446909,cde-la-garza@club.net,"Viaducto Sur Gallardo 820 Interior 274, Vieja Namibia, TAMPS 02084"
Proveedor 10,Lic. Leonor Ruiz,712.658.4802,vsisneros@hotmail.com,"Circuito Azerbaiyán 426 Edif. 058 , Depto. 835, Nueva Lesotho, YUC 30395"
Proveedor 11,Noemí Karina Huerta,950-952-5475,cervantezalonso@club.com,"Pasaje Cantú 739 Edif. 225 , Depto. 159, San Mónica los bajos, CHIH 74269"
Proveedor 12,Jaime Alejandro,464.985.8113x2339,serafinpulido@carmona.com,"Andador Norte Saavedra 421 616, San Modesto los bajos, CAMP 89603"
Proveedor 13,Cornelio Valverde,(050)898-6872x640,yeni89@alonzo-armas.com,"Privada Guerrero 415 Interior 989, Vieja Nueva Zelandia, TAMPS 46416"
Proveedor 14,Timoteo Arias Esquivel,(499)096-4371x9899,luciaalejandro@hotmail.com,"Retorno Norte Valencia 287 Edif. 902 , Depto. 574, Nueva Trinidad y Tabago, QRO 04569"
Proveedor 15,Vicente Lugo,1-539-261-0128,wjiminez@corporacin.net,"Retorno Baja California Sur 903 Interior 560, San Marcos los bajos, COAH 97403-3473"
Proveedor 16,Abraham Collado,(271)432-6785x9734,irizarrybenjamin@hotmail.com,"Avenida Sur Ortiz 900 Interior 367, Vieja Sierra Leona, TLAX 74948"
Proveedor 17,Jerónimo Antonia Cedillo,053.352.0283,mezasessa@hotmail.com,"Callejón Rumania 932 506, Vieja Luxemburgo, TAMPS 33964-7041"
Proveedor 18,Salma Cordero,933.098.7792,luisaquiroz@tellez-roldan.biz,"Ampliación Chiapas 861 090, Vieja Senegal, Q. ROO 72180"
Proveedor 19,Rubén Ángel Santana,(601)046-5160,sanchesjonas@rascon-herrera.info,"Ampliación Montez 737 Edif. 269 , Depto. 606, San Mercedes los altos, GRO 40408-8562"
Proveedor 20,Verónica Velázquez,743-691-6455,sanabrialuz@alvarado.com,"Diagonal Sur Muñiz 469 Interior 858, San Eugenia los altos, MOR 74202"
Proveedor 21,Adela Gallardo Rico,616.628.4148x211,valadezalfonso@yahoo.com,"Diagonal Ledesma 491 Edif. 775 , Depto. 609, San Jaime de la Montaña, MOR 30272-1101"
Proveedor 22,Cristina Cornelio Ojeda,+62(7)4077690499,victoria78@yahoo.com,"Prolongación Malta 168 Interior 932, San Martín los altos, YUC 36230"
Proveedor 23,Alma Márquez Tejada,1-600-859-2699,nrael@granado-henriquez.biz,"Ampliación Hidalgo 765 Edif. 951 , Depto. 183, Nueva Cabo Verde, SON 52068-9893"
Proveedor 24,Sergio Israel Cazares,(345)055-1297x798,gracielabaeza@arguello-espinoza.biz,"Peatonal Archuleta 040 Interior 553, Vieja Costa Rica, TLAX 40526-2343"
Proveedor 25,Victoria Uriel Loera,417.528.2297x0954,jose-mariadelgado@yahoo.com,"Avenida González 532 953, Nueva Portugal, NAY 46917"
Proveedor 26,Dr. Claudia Perales,(977)115-7288,zambranodulce@industrias.com,"Calzada Colima 834 Interior 557, San Celia de la Montaña, ZAC 94836-9027"
Proveedor 27,Eloy Jacobo Mendoza Elizondo,1-094-083-6828,bacamaximiliano@gmail.com,"Ampliación Linares 660 Edif. 270 , Depto. 135, San Miguel Ángel los altos, TAMPS 30305"
